scene,split,n_chips,year,month,season,lat,lon,water_frac
Wenatchee_2012_08_25_103001001BCCD600,train/val,300,2012,8,Summer,47.9620460167411,-120.793649449832,0.008790918986002604
Wenatchee_2012_10_04_1943__AOI_1,train/val,272,2012,10,Autumn,47.55664879711937,-120.60900526105506,0.010921085582059972
Wenatchee_2013_10_17_AOI_1,train/val,272,2013,10,Autumn,47.41416438919547,-121.13127893922079,0.009925365447998047
Wenatchee_2014_06_04_103001003203CA00_AOI,train/val,170,2014,6,Summer,48.07106408264273,-120.71352317209741,0.009329941693474265
Wenatchee_2014_06_04_103001003226EA00_AOI,train/val,70,2014,6,Summer,48.66085576389022,-120.54577367876799,0.018155125209263392
Wenatchee_2014_07_26_1030010034A03400_AOI,train/val,117,2014,7,Summer,48.52474814534925,-120.30368849269463,0.020407978286091078
Wenatchee_2014_08_27_10300100354F7A00_AOI,test,240,2014,8,Summer,48.40700819117516,-120.20419069359667,0.012795718510945638
Wenatchee_2015_07_02_AOI_1,train/val,288,2015,7,Summer,47.56051271359679,-121.13513970861882,0.007331265343560113
Wenatchee_2015_08_09_AOI_1,train/val,306,2015,8,Summer,48.03636853440178,-120.85787685248573,0.004388672074461295
Wenatchee_2016_05_01_AOI_1,train/val,288,2016,5,Spring,47.50387792946551,-120.43634475800567,0.021978060404459637
Wenatchee_2016_06_28_AOI_1,train/val,418,2016,6,Summer,47.99726343130741,-120.58698050201144,0.00587978089255009
Wenatchee_2016_08_16_10400100214F5200_AOI_1,test,908,2016,8,Summer,49.208701154525265,-119.84765122510294,0.02108148751279856
Wenatchee_2017_04_21_1030010067996300_AOI,train/val,351,2017,4,Spring,47.889570950930306,-120.43618370203107,0.012961134951338809
Wenatchee_2017_05_10_103001006774DA00_AOI,train/val,986,2017,5,Spring,47.844597513057565,-120.91789641476177,0.015489052081930226
Wenatchee_2017_05_10_AOI_1,train/val,210,2017,5,Spring,47.23221299361508,-120.81331566950517,0.020971007574172248
Wenatchee_2017_09_01_103001006F379100_AOI,train/val,720,2017,9,Autumn,48.40074591067682,-120.46428536307832,0.002392207251654731
Wenatchee_2018_05_21_103001007F631E00_AOI_1,train/val,229,2018,5,Spring,48.93085154930701,-119.4434654346278,0.21929656782525075
Wenatchee_2018_10_16_103001008659C200_AOI_1,train/val,153,2018,10,Autumn,49.5503669385999,-120.78174934102051,0.016099069632735906
Wenatchee_2018_10_16_1030010087873700_AOI_1,train/val,328,2018,10,Autumn,49.682827630560524,-120.79489738045413,0.0187984675895877
Wenatchee_2019_07_21_104001004E8FA100_AOI_1,train/val,410,2019,7,Summer,49.370731674058256,-120.56162393354025,0.020986705873070693
Wenatchee_2019_07_26_104001004E554F00_AOI_1,test,484,2019,7,Summer,49.37306661857255,-120.56021294240082,0.01965819902656492
Wenatchee_2019_10_30_AOI_1,train/val,272,2019,10,Autumn,47.01182055111891,-120.60098697757263,0.031292115940767175
Wenatchee_2020_04_10_104001005845AA00_AOI_1,train/val,462,2020,4,Spring,48.94772340608436,-119.44894151903262,0.036294813279981734
Wenatchee_2020_09_28_10300100ACD32800_AOI_1,train/val,244,2020,9,Autumn,49.47423787990197,-120.39481856170838,0.01862590039362673
Wenatchee_2021_06_01_1040010069C43900_AOI_1,train/val,624,2021,6,Summer,47.936276465952744,-120.92178711217498,0.020966242521237105
Wenatchee_2022_11_09_104001007E867900_AOI_1,test,760,2022,11,Autumn,47.8176791727971,-120.75005212264834,0.08252979077790913
Wenatchee_2023_07_21_10300100E91BCC00_AOI_1,train/val,252,2023,7,Summer,47.94910242989113,-120.7690425242109,0.009016839284745474
Wenatchee_2024_08_14_1030010102C4A800_AOI,train/val,513,2024,8,Summer,48.51118194409203,-120.25955652543583,0.0140539024308411
Wenatchee_2024_10_08_104001009C1D8100_AOI_1,train/val,160,2024,10,Autumn,45.30802062590735,-118.32160348044293,0.012346315383911132
Wenatchee_2024_10_08_104001009D0A2C00_AOI_1,train/val,725,2024,10,Autumn,45.269584115781704,-118.4249855653065,0.00499865827889278
Wenatchee_2025_02_07_103001010D0A1600_AOI_1,test,338,2025,2,Winter,47.50807829570987,-120.42478675036305,0.017965215197681676
Wenatchee_2026_05_24_10300101272A9B00_AOI_1,train/val,190,2026,5,Spring,47.85915154768226,-120.97191641241065,0.008666610717773438
Wenatchee_2026_05_31_10400100BA14AD00_AOI_1,train/val,392,2026,5,Spring,47.93377732278347,-120.9203793641195,0.015061709345603476
Wenatchee_2026_06_04_1030010128826800_AOI_1,train/val,286,2026,6,Summer,47.785549769792695,-120.84601436578629,0.011660729254875983
cath_creek_2014_11_07_1030010037626800_AOI_1,train/val,64,2014,11,Autumn,45.14112074956148,-117.7244903771413,0.0040877461433410645
cath_creek_2015_02_25_1040010007BC5A00_AOI_1,train/val,238,2015,2,Winter,45.25875231251879,-117.9798073359316,0.08696628217937566
cath_creek_2015_10_09_10300100496A4600_AOI_1,test,359,2015,10,Autumn,45.25630614684433,-117.93199548681793,0.00532970587855262
cath_creek_2017_08_22_103001006F04A600_AOI_1,train/val,180,2017,8,Summer,45.234650707446754,-117.9296148255897,0.003051524692111545
cath_creek_2018_12_05_1040010046BF9000_AOI_1,test,319,2018,12,Winter,45.1844046642542,-117.82180038391881,0.002742791250581652
cath_creek_2019_05_12_10300100916DF800_AOI_1,train/val,131,2019,5,Spring,45.124265999656714,-117.66666791536584,0.002656135850280296
cath_creek_2020_11_29_10300100AF3FF900_AOI_1,train/val,182,2020,11,Autumn,45.19552320609435,-117.84094484481197,0.001753482189807263
cath_creek_2020_11_29_10300100B00AB000_AOI_1,train/val,56,2020,11,Autumn,45.13303779770184,-117.71030788961738,0.0038272312709263395
